Speed,Power
16.22,104.0
15.44,96.0
15.951,101.0
16.084,103.0
16.254,105.0
15.755,99.0
16.498,107.0
16.017,102.0
16.498,107.0
16.462,107.0
16.392,106.0
16.933,112.0
16.64,109.0
16.22,104.0
16.22,104.0
15.533,97.0
15.951,101.0
15.853,100.0
15.984,102.0
15.755,99.0
15.788,100.0
15.286,94.0
14.96,91.0
15.44,96.0
15.755,99.0
15.136,93.0
15.107,92.0
15.286,94.0
14.788,89.0
14.564,86.0
14.703,88.0
14.619,87.0
14.401,84.0
15.286,94.0
15.256,94.0
14.592,87.0
14.703,88.0
14.619,87.0
14.619,87.0
15.018,91.0
14.788,89.0
15.378,95.0
15.107,92.0
15.286,94.0
15.723,99.0
15.627,98.0
15.409,96.0
15.347,95.0
15.166,93.0
14.873,90.0
15.077,92.0
15.378,95.0
14.647,87.0
14.619,87.0
14.592,87.0
14.647,87.0
14.759,88.0
14.873,90.0
14.816,89.0
14.989,91.0
15.347,95.0
14.989,91.0
14.675,87.0
15.048,92.0
15.226,94.0
14.931,90.0
14.816,89.0
15.502,97.0
15.107,92.0
14.931,90.0
15.691,99.0
15.471,96.0
15.256,94.0
14.989,91.0
15.077,92.0
14.816,89.0
14.902,90.0
15.256,94.0
15.077,92.0
15.256,94.0
14.989,91.0
14.902,90.0
14.902,90.0
14.788,89.0
15.077,92.0
15.077,92.0
15.048,92.0
14.989,91.0
15.286,94.0
15.018,91.0
14.845,89.0
15.596,98.0
15.196,93.0
14.96,91.0
14.989,91.0
15.048,92.0
15.166,93.0
14.703,88.0
15.44,96.0
15.471,96.0
15.502,97.0
15.317,95.0
15.286,94.0
14.873,90.0
15.166,93.0
15.44,96.0
15.44,96.0
15.659,98.0
15.502,97.0
15.853,100.0
15.471,96.0
15.048,92.0
9.511,31.0
13.17,71.0
13.17,71.0
13.17,71.0
15.347,95.0
14.989,91.0
15.196,93.0
15.286,94.0
15.256,94.0
15.048,92.0
15.166,93.0
15.596,98.0
15.018,91.0
15.136,93.0
14.873,90.0
14.989,91.0
14.931,90.0
15.107,92.0
15.317,95.0
15.018,91.0
15.077,92.0
15.502,97.0
15.409,96.0
14.816,89.0
15.286,94.0
15.502,97.0
15.723,99.0
15.82,100.0
15.984,102.0
16.676,109.0
15.885,101.0
15.723,99.0
15.853,100.0
15.533,97.0
15.256,94.0
15.918,101.0
10.944,47.0
11.006,47.0
11.006,47.0
11.006,47.0
15.951,101.0
15.853,100.0
15.659,98.0
15.853,100.0
16.084,103.0
16.288,105.0
16.427,107.0
16.186,104.0
15.984,102.0
15.44,96.0
15.951,101.0
16.118,103.0
16.254,105.0
15.659,98.0
15.659,98.0
16.357,106.0
15.596,98.0
15.166,93.0
15.44,96.0
15.691,99.0
15.378,95.0
14.989,91.0
15.286,94.0
15.853,100.0
15.226,94.0
15.44,96.0
15.378,95.0
15.378,95.0
15.196,93.0
15.226,94.0
14.215,82.0
10.3,40.0
13.283,72.0
13.283,72.0
14.482,85.0
14.675,87.0
15.018,91.0
14.873,90.0
14.902,90.0
15.107,92.0
14.96,91.0
14.759,88.0
12.651,65.0
10.554,42.0
10.554,42.0
