Speed,Power
19.936,59.0
19.392,56.0
19.44,56.0
19.489,57.0
20.194,60.0
19.835,58.0
20.512,61.0
20.194,60.0
19.44,56.0
21.236,64.0
22.329,69.0
21.83,67.0
22.014,68.0
22.329,69.0
22.393,69.0
17.721,49.0
13.451,31.0
11.116,21.0
8.503,9.0
8.503,9.0
5.192,0.0
5.192,0.0
5.192,0.0
5.192,0.0
1.618,0.0
13.451,31.0
27.325,90.0
23.539,74.0
22.652,70.0
22.202,68.0
22.233,68.0
21.648,66.0
21.769,66.0
22.457,69.0
22.139,68.0
22.587,70.0
22.985,72.0
22.329,69.0
22.587,70.0
22.784,71.0
23.328,73.0
23.328,73.0
23.468,74.0
23.259,73.0
22.918,71.0
22.522,70.0
22.985,72.0
22.457,69.0
22.457,69.0
22.718,71.0
23.121,72.0
23.259,73.0
22.884,71.0
23.328,73.0
23.259,73.0
23.398,74.0
23.259,73.0
22.522,70.0
22.587,70.0
22.784,71.0
22.457,69.0
22.985,72.0
22.851,71.0
22.587,70.0
22.985,72.0
22.784,71.0
22.718,71.0
22.265,69.0
22.393,69.0
22.139,68.0
23.19,73.0
22.851,71.0
23.053,72.0
22.329,69.0
22.076,68.0
22.393,69.0
22.457,69.0
22.457,69.0
22.202,68.0
21.83,67.0
21.708,66.0
21.769,66.0
22.233,68.0
23.539,74.0
22.784,71.0
22.851,71.0
22.139,68.0
22.587,70.0
22.587,70.0
23.121,72.0
23.053,72.0
22.393,69.0
22.329,69.0
22.918,71.0
22.652,70.0
22.784,71.0
22.522,70.0
22.139,68.0
22.265,69.0
22.393,69.0
22.265,69.0
22.329,69.0
21.769,66.0
22.457,69.0
22.202,68.0
23.121,72.0
22.587,70.0
22.329,69.0
22.265,69.0
22.818,71.0
22.265,69.0
22.202,68.0
22.329,69.0
22.784,71.0
22.265,69.0
23.053,72.0
22.784,71.0
22.522,70.0
23.328,73.0
23.156,72.0
22.587,70.0
22.985,72.0
24.27,77.0
22.718,71.0
22.784,71.0
22.457,69.0
23.121,72.0
22.718,71.0
22.329,69.0
22.329,69.0
22.587,70.0
22.587,70.0
22.652,70.0
23.053,72.0
22.522,70.0
22.784,71.0
22.884,71.0
23.19,73.0
23.398,74.0
23.19,73.0
23.468,74.0
22.457,69.0
22.329,69.0
22.522,70.0
23.259,73.0
22.139,68.0
22.014,68.0
22.265,69.0
22.918,71.0
22.985,72.0
22.851,71.0
22.985,72.0
23.61,74.0
22.784,71.0
22.457,69.0
22.696,70.0
23.398,74.0
23.328,73.0
23.328,73.0
23.121,72.0
22.851,71.0
22.522,70.0
22.522,70.0
22.139,68.0
21.799,67.0
22.014,68.0
21.411,65.0
22.014,68.0
22.202,68.0
21.83,67.0
23.539,74.0
22.985,72.0
22.587,70.0
22.884,71.0
23.516,74.0
22.985,72.0
23.754,75.0
23.053,72.0
23.61,74.0
23.19,73.0
23.826,75.0
22.718,71.0
22.851,71.0
23.053,72.0
23.328,73.0
22.985,72.0
22.652,70.0
22.718,71.0
23.754,75.0
23.468,74.0
23.259,73.0
23.398,74.0
23.121,72.0
23.19,73.0
23.19,73.0
23.053,72.0
22.851,71.0
22.522,70.0
22.587,70.0
23.053,72.0
22.918,71.0
23.328,73.0
22.718,71.0
23.053,72.0
22.751,71.0
23.328,73.0
22.918,71.0
23.19,73.0
23.61,74.0
23.398,74.0
23.19,73.0
23.539,74.0
23.121,72.0
23.61,74.0
22.918,71.0
22.918,71.0
23.259,73.0
23.539,74.0
23.61,74.0
23.682,75.0
23.398,74.0
21.952,67.0
21.891,67.0
22.329,69.0
22.457,69.0
22.522,70.0
22.393,69.0
22.718,71.0
22.202,68.0
22.457,69.0
22.522,70.0
22.652,70.0
22.652,70.0
22.652,70.0
23.328,73.0
23.087,72.0
23.259,73.0
23.121,72.0
22.851,71.0
22.587,70.0
22.587,70.0
22.587,70.0
22.985,72.0
23.121,72.0
22.718,71.0
23.053,72.0
23.053,72.0
22.784,71.0
22.784,71.0
22.522,70.0
23.328,73.0
23.259,73.0
22.851,71.0
23.539,74.0
23.328,73.0
23.053,72.0
23.259,73.0
22.851,71.0
23.682,75.0
23.328,73.0
23.19,73.0
22.587,70.0
22.851,71.0
22.985,72.0
22.457,69.0
22.784,71.0
22.393,69.0
22.985,72.0
22.985,72.0
23.19,73.0
22.522,70.0
22.652,70.0
22.918,71.0
23.754,75.0
23.61,74.0
23.121,72.0
23.398,74.0
23.398,74.0
23.259,73.0
23.61,74.0
24.046,76.0
23.497,74.0
23.468,74.0
22.985,72.0
23.259,73.0
22.718,71.0
23.053,72.0
23.224,73.0
23.259,73.0
23.121,72.0
22.851,71.0
22.918,71.0
23.121,72.0
23.259,73.0
22.587,70.0
23.682,75.0
23.19,73.0
23.468,74.0
23.539,74.0
23.19,73.0
23.328,73.0
22.014,68.0
24.576,79.0
25.129,81.0
25.539,83.0
24.889,80.0
24.195,77.0
23.539,74.0
24.195,77.0
24.195,77.0
24.576,79.0
24.653,79.0
24.12,77.0
23.826,75.0
23.972,76.0
23.826,75.0
23.899,76.0
23.754,75.0
23.899,76.0
23.468,74.0
23.468,74.0
23.053,72.0
22.457,69.0
22.393,69.0
22.784,71.0
22.918,71.0
22.851,71.0
23.19,73.0
23.398,74.0
23.972,76.0
23.19,73.0
22.587,70.0
22.985,72.0
23.398,74.0
23.539,74.0
23.61,74.0
23.19,73.0
23.053,72.0
23.19,73.0
22.985,72.0
23.121,72.0
23.398,74.0
23.899,76.0
23.053,72.0
22.587,70.0
22.652,70.0
23.224,73.0
22.985,72.0
23.328,73.0
23.468,74.0
22.587,70.0
22.985,72.0
23.398,74.0
23.754,75.0
22.985,72.0
23.259,73.0
23.682,75.0
23.504,74.0
23.19,73.0
23.19,73.0
23.053,72.0
23.328,73.0
23.539,74.0
23.539,74.0
23.61,74.0
22.784,71.0
23.398,74.0
24.422,78.0
23.899,76.0
23.259,73.0
23.539,74.0
23.468,74.0
23.259,73.0
23.259,73.0
23.19,73.0
22.918,71.0
23.019,72.0
22.985,72.0
23.398,74.0
23.259,73.0
23.259,73.0
22.457,69.0
22.265,69.0
22.718,71.0
22.918,71.0
23.398,74.0
22.985,72.0
22.918,71.0
23.539,74.0
23.121,72.0
23.539,74.0
23.398,74.0
22.918,71.0
22.587,70.0
22.652,70.0
22.393,69.0
23.328,73.0
22.652,70.0
24.195,77.0
23.539,74.0
24.12,77.0
23.259,73.0
22.952,72.0
22.329,69.0
22.851,71.0
22.851,71.0
22.851,71.0
22.985,72.0
23.539,74.0
23.754,75.0
23.398,74.0
23.972,76.0
23.61,74.0
23.053,72.0
23.053,72.0
23.754,75.0
24.046,76.0
23.754,75.0
23.754,75.0
23.972,76.0
24.27,77.0
23.121,72.0
22.587,70.0
23.682,75.0
23.61,74.0
23.754,75.0
23.972,76.0
23.826,75.0
24.083,76.0
23.328,73.0
23.539,74.0
23.539,74.0
23.646,75.0
24.046,76.0
23.328,73.0
23.682,75.0
24.195,77.0
23.398,74.0
23.899,76.0
24.195,77.0
23.121,72.0
24.12,77.0
25.373,82.0
23.504,74.0
23.682,75.0
23.972,76.0
23.682,75.0
23.682,75.0
24.046,76.0
23.61,74.0
23.468,74.0
24.346,78.0
24.046,76.0
24.346,78.0
24.046,76.0
23.754,75.0
23.826,75.0
23.259,73.0
23.053,72.0
22.718,71.0
23.972,76.0
23.899,76.0
23.539,74.0
23.398,74.0
23.754,75.0
23.398,74.0
23.328,73.0
23.826,75.0
23.899,76.0
23.899,76.0
25.21,81.0
25.21,81.0
25.129,81.0
25.129,81.0
24.731,79.0
24.422,78.0
24.942,80.0
24.889,80.0
25.623,83.0
25.623,83.0
25.539,83.0
25.707,83.0
25.539,83.0
24.653,79.0
25.291,82.0
25.373,82.0
25.707,83.0
25.129,81.0
25.048,81.0
25.25,81.0
25.373,82.0
25.373,82.0
24.81,80.0
24.889,80.0
24.968,80.0
24.889,80.0
24.889,80.0
25.291,82.0
25.048,81.0
25.21,81.0
25.21,81.0
25.964,85.0
25.623,83.0
26.05,85.0
25.707,83.0
25.129,81.0
25.21,81.0
24.653,79.0
25.129,81.0
25.21,81.0
25.456,82.0
25.291,82.0
25.21,81.0
25.21,81.0
24.653,79.0
25.048,81.0
25.048,81.0
24.968,80.0
24.968,80.0
25.21,81.0
25.21,81.0
24.889,80.0
24.498,78.0
24.889,80.0
24.731,79.0
24.889,80.0
25.373,82.0
25.623,83.0
25.623,83.0
25.539,83.0
25.456,82.0
25.456,82.0
25.878,84.0
25.707,83.0
25.291,82.0
25.21,81.0
25.456,82.0
25.623,83.0
25.048,81.0
25.707,83.0
25.707,83.0
25.878,84.0
25.291,82.0
25.456,82.0
25.048,81.0
25.21,81.0
25.21,81.0
25.539,83.0
25.129,81.0
25.373,82.0
25.964,85.0
25.539,83.0
25.373,82.0
25.373,82.0
25.291,82.0
25.623,83.0
25.707,83.0
25.539,83.0
25.623,83.0
26.05,85.0
26.137,85.0
25.878,84.0
26.313,86.0
25.623,83.0
25.048,81.0
25.456,82.0
25.792,84.0
25.539,83.0
25.878,84.0
25.964,85.0
25.21,81.0
25.21,81.0
26.137,85.0
26.492,87.0
25.878,84.0
25.539,83.0
25.21,81.0
25.878,84.0
26.402,86.0
26.313,86.0
25.878,84.0
25.373,82.0
25.456,82.0
25.964,85.0
26.764,88.0
26.537,87.0
26.402,86.0
26.05,85.0
25.539,83.0
25.878,84.0
25.707,83.0
26.313,86.0
27.042,89.0
25.878,84.0
25.707,83.0
26.137,85.0
26.313,86.0
25.964,85.0
26.05,85.0
26.225,86.0
26.225,86.0
25.539,83.0
26.137,85.0
26.402,86.0
26.05,85.0
26.856,88.0
26.856,88.0
26.672,88.0
26.137,85.0
26.225,86.0
27.136,90.0
26.672,88.0
25.964,85.0
26.313,86.0
26.764,88.0
27.042,89.0
26.856,88.0
26.05,85.0
26.05,85.0
27.042,89.0
26.402,86.0
25.964,85.0
26.313,86.0
26.137,85.0
26.856,88.0
26.492,87.0
26.358,86.0
26.582,87.0
26.672,88.0
26.856,88.0
27.042,89.0
26.582,87.0
26.492,87.0
26.492,87.0
27.136,90.0
27.325,90.0
26.225,86.0
25.878,84.0
26.672,88.0
26.856,88.0
26.313,86.0
26.672,88.0
26.313,86.0
26.402,86.0
26.672,88.0
26.856,88.0
26.672,88.0
25.623,83.0
26.05,85.0
26.137,85.0
27.325,90.0
26.902,89.0
26.902,89.0
26.718,88.0
26.313,86.0
26.225,86.0
26.672,88.0
26.672,88.0
26.582,87.0
25.878,84.0
26.492,87.0
27.136,90.0
26.672,88.0
27.811,92.0
27.518,91.0
26.402,86.0
26.313,86.0
27.421,91.0
26.764,88.0
26.948,89.0
26.672,88.0
26.582,87.0
26.856,88.0
26.856,88.0
26.492,87.0
26.672,88.0
26.856,88.0
27.042,89.0
27.262,90.0
27.518,91.0
27.325,90.0
26.948,89.0
26.856,88.0
26.582,87.0
26.492,87.0
27.042,89.0
27.042,89.0
27.136,90.0
