Speed,Power
18.168,140.0
15.897,113.0
16.697,122.0
17.264,129.0
17.264,129.0
17.501,132.0
17.87,136.0
17.582,133.0
16.661,122.0
16.132,116.0
16.41,119.0
16.34,118.0
16.132,116.0
15.93,113.0
15.447,107.0
15.93,113.0
15.509,108.0
15.766,111.0
15.964,114.0
15.798,112.0
15.541,109.0
15.636,110.0
15.701,110.0
16.201,116.0
15.997,114.0
16.064,115.0
16.115,115.0
16.064,115.0
15.897,113.0
15.997,114.0
16.064,115.0
16.064,115.0
16.098,115.0
15.864,112.0
16.167,116.0
16.031,114.0
15.964,114.0
15.997,114.0
16.235,117.0
16.167,116.0
15.897,113.0
15.93,113.0
15.997,114.0
15.964,114.0
15.701,110.0
16.031,114.0
16.201,116.0
15.964,114.0
16.098,115.0
16.235,117.0
16.167,116.0
16.201,116.0
16.201,116.0
16.624,122.0
16.624,122.0
16.516,120.0
16.27,117.0
16.516,120.0
16.697,122.0
16.27,117.0
16.34,118.0
16.235,117.0
16.167,116.0
16.588,121.0
16.481,120.0
16.201,116.0
16.167,116.0
15.997,114.0
16.34,118.0
16.445,119.0
16.588,121.0
16.516,120.0
16.661,122.0
16.624,122.0
16.552,121.0
16.34,118.0
16.235,117.0
16.445,119.0
16.375,119.0
16.201,116.0
16.167,116.0
16.235,117.0
16.34,118.0
16.27,117.0
16.552,121.0
16.235,117.0
16.098,115.0
16.34,118.0
16.235,117.0
15.701,110.0
15.831,112.0
15.93,113.0
14.105,91.0
14.933,101.0
14.962,102.0
15.384,107.0
15.605,109.0
15.322,106.0
15.261,105.0
15.231,105.0
15.2,104.0
15.509,108.0
15.415,107.0
15.322,106.0
14.904,101.0
15.05,103.0
14.846,100.0
15.05,103.0
14.874,100.0
15.08,103.0
14.846,100.0
14.977,102.0
14.759,99.0
14.874,100.0
14.874,100.0
14.702,98.0
14.674,98.0
15.08,103.0
14.874,100.0
14.702,98.0
14.59,97.0
14.507,96.0
14.788,99.0
14.674,98.0
14.904,101.0
14.759,99.0
15.14,104.0
14.702,98.0
15.05,103.0
14.933,101.0
15.231,105.0
14.759,99.0
15.261,105.0
15.08,103.0
15.14,104.0
14.904,101.0
14.646,98.0
14.933,101.0
14.562,97.0
14.933,101.0
14.991,102.0
14.933,101.0
14.343,94.0
14.991,102.0
15.08,103.0
15.05,103.0
14.702,98.0
14.846,100.0
14.452,95.0
14.846,100.0
14.131,92.0
14.817,100.0
15.17,104.0
15.384,107.0
15.353,106.0
15.384,107.0
15.415,107.0
15.08,103.0
15.05,103.0
15.05,103.0
15.14,104.0
14.874,100.0
15.14,104.0
14.991,102.0
15.14,104.0
14.846,100.0
14.534,96.0
14.788,99.0
15.292,106.0
15.2,104.0
15.2,104.0
15.261,105.0
15.08,103.0
15.261,105.0
15.216,105.0
15.231,105.0
14.904,101.0
14.933,101.0
14.59,97.0
15.261,105.0
14.962,102.0
15.17,104.0
14.962,102.0
15.509,108.0
15.261,105.0
15.353,106.0
15.2,104.0
15.322,106.0
15.14,104.0
15.08,103.0
14.962,102.0
14.731,99.0
15.08,103.0
14.962,102.0
14.674,98.0
14.991,102.0
14.933,101.0
14.788,99.0
14.846,100.0
14.759,99.0
15.17,104.0
14.817,100.0
14.933,101.0
14.991,102.0
15.353,106.0
15.17,104.0
15.14,104.0
15.478,108.0
15.384,107.0
15.478,108.0
15.322,106.0
15.2,104.0
15.322,106.0
15.509,108.0
15.353,106.0
14.962,102.0
15.14,104.0
15.384,107.0
15.14,104.0
15.573,109.0
15.292,106.0
15.798,112.0
15.292,106.0
15.2,104.0
15.11,103.0
15.353,106.0
15.11,103.0
15.292,106.0
15.11,103.0
15.14,104.0
15.11,103.0
15.17,104.0
15.08,103.0
15.08,103.0
15.08,103.0
15.14,104.0
15.11,103.0
15.605,109.0
15.415,107.0
15.478,108.0
15.2,104.0
15.509,108.0
15.322,106.0
15.322,106.0
15.478,108.0
15.415,107.0
15.478,108.0
15.478,108.0
15.93,113.0
15.701,110.0
15.415,107.0
15.14,104.0
15.384,107.0
15.261,105.0
15.322,106.0
15.292,106.0
15.669,110.0
15.231,105.0
15.447,107.0
15.292,106.0
15.605,109.0
15.415,107.0
15.573,109.0
15.478,108.0
15.636,110.0
15.11,103.0
12.76,75.0
12.76,75.0
12.76,75.0
16.588,121.0
16.481,120.0
16.132,116.0
16.27,117.0
16.201,116.0
16.41,119.0
16.098,115.0
16.167,116.0
16.167,116.0
16.41,119.0
16.34,118.0
16.34,118.0
16.445,119.0
16.167,116.0
15.831,112.0
15.864,112.0
16.132,116.0
16.34,118.0
16.34,118.0
16.167,116.0
16.098,115.0
16.201,116.0
16.201,116.0
16.098,115.0
16.064,115.0
15.798,112.0
15.897,113.0
15.636,110.0
15.997,114.0
15.93,113.0
15.997,114.0
15.733,111.0
15.636,110.0
15.733,111.0
15.964,114.0
15.701,110.0
15.353,106.0
15.415,107.0
15.14,104.0
15.447,107.0
15.541,109.0
15.11,103.0
15.08,103.0
15.384,107.0
15.415,107.0
15.478,108.0
15.384,107.0
15.605,109.0
15.231,105.0
15.322,106.0
15.261,105.0
15.353,106.0
15.08,103.0
15.2,104.0
15.292,106.0
15.384,107.0
15.2,104.0
15.509,108.0
15.261,105.0
15.478,108.0
15.415,107.0
15.353,106.0
15.231,105.0
15.322,106.0
15.05,103.0
15.261,105.0
15.17,104.0
15.509,108.0
15.541,109.0
15.478,108.0
15.605,109.0
15.605,109.0
15.701,110.0
15.541,109.0
15.384,107.0
15.261,105.0
15.509,108.0
15.701,110.0
15.415,107.0
15.322,106.0
15.573,109.0
15.478,108.0
15.573,109.0
15.864,112.0
15.701,110.0
15.384,107.0
15.447,107.0
15.447,107.0
15.541,109.0
15.636,110.0
15.766,111.0
15.636,110.0
16.064,115.0
15.573,109.0
15.897,113.0
15.831,112.0
15.997,114.0
15.605,109.0
16.031,114.0
15.509,108.0
15.798,112.0
15.509,108.0
15.605,109.0
15.541,109.0
15.798,112.0
15.798,112.0
15.766,111.0
15.669,110.0
15.831,112.0
15.478,108.0
15.605,109.0
15.573,109.0
16.235,117.0
15.701,110.0
15.964,114.0
15.798,112.0
15.964,114.0
15.733,111.0
15.897,113.0
15.93,113.0
16.201,116.0
15.701,110.0
15.964,114.0
15.93,113.0
16.27,117.0
16.031,114.0
15.798,112.0
15.573,109.0
15.964,114.0
16.031,114.0
15.897,113.0
15.93,113.0
16.098,115.0
15.864,112.0
16.031,114.0
15.733,111.0
16.098,115.0
15.964,114.0
15.93,113.0
15.864,112.0
16.031,114.0
15.997,114.0
16.305,118.0
15.997,114.0
16.098,115.0
15.964,114.0
16.27,117.0
16.41,119.0
16.167,116.0
15.864,112.0
15.798,112.0
15.509,108.0
15.798,112.0
15.831,112.0
15.964,114.0
15.636,110.0
15.733,111.0
15.717,111.0
17.264,129.0
16.516,120.0
16.445,119.0
16.734,123.0
16.588,121.0
16.481,120.0
16.098,115.0
16.445,119.0
16.235,117.0
16.305,118.0
16.235,117.0
16.27,117.0
16.031,114.0
16.305,118.0
15.964,114.0
16.201,116.0
16.064,115.0
16.235,117.0
16.064,115.0
16.445,119.0
16.132,116.0
16.235,117.0
15.997,114.0
16.167,116.0
16.031,114.0
16.098,115.0
15.897,113.0
16.34,118.0
16.845,124.0
16.552,121.0
16.552,121.0
16.201,116.0
16.201,116.0
16.41,119.0
16.27,117.0
16.375,119.0
16.57,121.0
16.661,122.0
16.771,123.0
16.516,120.0
16.624,122.0
16.552,121.0
16.661,122.0
16.995,126.0
17.109,127.0
16.661,122.0
16.697,122.0
16.481,120.0
16.697,122.0
16.624,122.0
16.882,125.0
16.481,120.0
17.033,126.0
16.771,123.0
16.919,125.0
16.734,123.0
16.957,126.0
16.588,121.0
16.41,119.0
16.882,125.0
16.697,122.0
16.957,126.0
16.957,126.0
17.071,127.0
16.697,122.0
16.845,124.0
16.957,126.0
17.033,126.0
16.552,121.0
16.734,123.0
16.808,124.0
16.697,122.0
17.501,132.0
17.186,128.0
16.201,116.0
16.098,115.0
16.34,118.0
16.167,116.0
16.235,117.0
16.27,117.0
16.132,116.0
15.997,114.0
16.098,115.0
15.93,113.0
16.031,114.0
16.064,115.0
16.098,115.0
16.031,114.0
16.34,118.0
15.997,114.0
16.132,116.0
15.997,114.0
16.031,114.0
16.031,114.0
16.481,120.0
16.41,119.0
16.481,120.0
16.445,119.0
16.235,117.0
16.064,115.0
15.897,113.0
15.93,113.0
15.93,113.0
15.831,112.0
15.997,114.0
15.636,110.0
16.064,115.0
15.897,113.0
15.997,114.0
15.798,112.0
