Speed,Power
16.612,67.0
16.263,65.0
16.648,67.0
17.203,71.0
16.902,69.0
17.554,73.0
17.318,72.0
17.796,75.0
17.796,75.0
18.344,78.0
18.699,81.0
18.789,81.0
18.881,82.0
18.52,80.0
18.432,79.0
18.744,81.0
18.881,82.0
18.432,79.0
18.301,78.0
18.475,79.0
18.475,79.0
18.388,79.0
18.258,78.0
17.961,76.0
18.172,77.0
18.258,78.0
18.215,78.0
18.322,78.0
18.654,80.0
18.676,81.0
18.52,80.0
18.388,79.0
18.609,80.0
18.609,80.0
18.609,80.0
18.52,80.0
18.564,80.0
18.301,78.0
18.301,78.0
18.564,80.0
18.432,79.0
18.699,81.0
18.52,80.0
18.172,77.0
18.215,78.0
18.388,79.0
18.432,79.0
18.744,81.0
18.087,77.0
19.549,86.0
19.475,86.0
19.305,85.0
19.257,84.0
19.161,84.0
19.067,83.0
18.927,82.0
18.835,82.0
18.744,81.0
18.881,82.0
18.789,81.0
18.835,82.0
19.305,85.0
19.648,87.0
19.9,89.0
19.549,86.0
19.698,87.0
19.598,87.0
19.952,89.0
19.598,87.0
19.305,85.0
19.305,85.0
19.161,84.0
19.161,84.0
19.02,83.0
19.02,83.0
18.835,82.0
18.881,82.0
19.161,84.0
19.161,84.0
19.305,85.0
19.353,85.0
19.698,87.0
19.598,87.0
19.799,88.0
19.748,88.0
19.799,88.0
19.9,89.0
19.849,88.0
19.799,88.0
19.698,87.0
19.748,88.0
19.648,87.0
19.765,88.0
19.648,87.0
19.648,87.0
19.402,85.0
19.598,87.0
19.549,86.0
19.748,88.0
19.402,85.0
19.499,86.0
19.549,86.0
19.698,87.0
19.549,86.0
19.549,86.0
19.549,86.0
19.648,87.0
19.799,88.0
19.598,87.0
19.598,87.0
19.45,86.0
19.499,86.0
19.45,86.0
19.499,86.0
19.598,87.0
19.549,86.0
19.353,85.0
19.499,86.0
19.305,85.0
19.209,84.0
19.305,85.0
19.114,83.0
19.067,83.0
19.067,83.0
19.257,84.0
18.789,81.0
18.881,82.0
18.699,81.0
18.974,83.0
18.654,80.0
18.699,81.0
18.654,80.0
18.52,80.0
18.475,79.0
18.475,79.0
18.52,80.0
18.744,81.0
18.927,82.0
19.02,83.0
19.305,85.0
19.598,87.0
19.648,87.0
19.698,87.0
19.748,88.0
19.849,88.0
19.598,87.0
19.799,88.0
19.748,88.0
19.45,86.0
19.549,86.0
19.598,87.0
19.748,88.0
19.748,88.0
19.698,87.0
19.698,87.0
19.849,88.0
19.748,88.0
19.748,88.0
19.748,88.0
19.799,88.0
19.698,87.0
19.499,86.0
19.698,87.0
19.698,87.0
19.648,87.0
19.549,86.0
19.549,86.0
19.698,87.0
20.055,90.0
19.9,89.0
19.748,88.0
19.698,87.0
19.799,88.0
19.723,87.0
19.648,87.0
19.549,86.0
19.648,87.0
19.648,87.0
19.799,88.0
19.648,87.0
19.748,88.0
19.698,87.0
19.648,87.0
19.648,87.0
19.549,86.0
19.549,86.0
19.748,88.0
19.698,87.0
19.698,87.0
19.698,87.0
19.45,86.0
19.648,87.0
19.402,85.0
19.549,86.0
19.549,86.0
19.499,86.0
19.499,86.0
19.499,86.0
19.549,86.0
19.549,86.0
19.748,88.0
19.598,87.0
19.698,87.0
19.698,87.0
19.9,89.0
19.748,88.0
19.799,88.0
19.799,88.0
19.748,88.0
19.849,88.0
19.748,88.0
19.849,88.0
19.648,87.0
19.849,88.0
19.698,87.0
19.9,89.0
19.952,89.0
19.952,89.0
20.055,90.0
19.849,88.0
19.9,89.0
19.849,88.0
19.952,89.0
20.16,90.0
19.849,88.0
19.952,89.0
20.107,90.0
20.055,90.0
20.107,90.0
19.952,89.0
19.799,88.0
19.849,88.0
19.952,89.0
20.003,89.0
19.9,89.0
