Speed,Power
27.016,67.0
27.875,70.0
28.174,71.0
28.582,72.0
28.074,70.0
27.203,67.0
26.651,66.0
27.297,68.0
27.875,70.0
27.583,69.0
28.479,72.0
28.531,72.0
28.844,73.0
29.657,75.0
29.11,74.0
28.174,71.0
28.686,72.0
28.897,73.0
29.218,74.0
29.11,74.0
30.577,78.0
33.569,88.0
31.305,81.0
29.546,75.0
28.686,72.0
28.582,72.0
27.68,69.0
27.583,69.0
28.074,70.0
28.791,73.0
27.68,69.0
25.53,62.0
24.348,58.0
24.886,60.0
25.044,60.0
25.044,60.0
25.123,61.0
25.696,63.0
25.865,63.0
25.53,62.0
25.123,61.0
24.652,59.0
24.886,60.0
25.366,62.0
25.044,60.0
25.123,61.0
24.964,60.0
24.964,60.0
25.123,61.0
25.204,61.0
24.73,59.0
24.652,59.0
25.044,60.0
25.284,61.0
24.576,59.0
24.348,58.0
24.652,59.0
24.652,59.0
24.576,59.0
24.576,59.0
25.284,61.0
25.284,61.0
26.832,66.0
26.296,65.0
25.284,61.0
25.044,60.0
23.905,57.0
23.066,54.0
23.478,55.0
25.123,61.0
24.886,60.0
24.423,58.0
24.807,60.0
24.73,59.0
24.348,58.0
24.348,58.0
24.348,58.0
24.423,58.0
24.423,58.0
24.576,59.0
24.423,58.0
24.576,59.0
24.886,60.0
24.886,60.0
24.273,58.0
24.499,59.0
25.204,61.0
25.366,62.0
25.448,62.0
25.696,63.0
24.73,59.0
23.833,57.0
24.273,58.0
24.652,59.0
24.576,59.0
24.199,58.0
24.199,58.0
24.348,58.0
24.273,58.0
24.125,58.0
24.273,58.0
23.905,57.0
25.044,60.0
25.204,61.0
24.807,60.0
24.73,59.0
24.576,59.0
24.652,59.0
24.499,59.0
24.499,59.0
24.499,59.0
24.125,58.0
24.537,59.0
25.53,62.0
24.73,59.0
24.499,59.0
24.348,58.0
24.051,57.0
24.652,59.0
24.886,60.0
24.423,58.0
23.978,57.0
24.125,58.0
24.423,58.0
24.348,58.0
24.423,58.0
24.652,59.0
24.576,59.0
24.499,59.0
24.423,58.0
24.348,58.0
24.125,58.0
24.051,57.0
24.423,58.0
24.348,58.0
24.576,59.0
24.499,59.0
24.199,58.0
24.051,57.0
24.199,58.0
24.348,58.0
24.125,58.0
24.423,58.0
24.576,59.0
24.423,58.0
24.652,59.0
25.366,62.0
25.123,61.0
24.886,60.0
25.044,60.0
24.73,59.0
24.576,59.0
24.807,60.0
24.73,59.0
24.348,58.0
24.576,59.0
24.652,59.0
24.576,59.0
24.576,59.0
24.423,58.0
24.199,58.0
24.423,58.0
24.348,58.0
24.273,58.0
24.73,59.0
24.73,59.0
24.652,59.0
24.423,58.0
24.652,59.0
24.652,59.0
24.652,59.0
24.652,59.0
24.807,60.0
24.499,59.0
24.125,58.0
24.423,58.0
24.423,58.0
24.348,58.0
24.273,58.0
24.199,58.0
24.125,58.0
24.125,58.0
23.978,57.0
23.833,57.0
23.409,55.0
24.051,57.0
26.472,65.0
26.208,64.0
26.924,67.0
26.924,67.0
26.561,65.0
28.686,72.0
28.582,72.0
28.686,72.0
28.791,73.0
29.326,74.0
29.546,75.0
30.11,77.0
29.546,75.0
28.791,73.0
28.377,71.0
28.582,72.0
28.275,71.0
28.275,71.0
27.583,69.0
27.974,70.0
27.68,69.0
27.777,69.0
27.974,70.0
28.897,73.0
29.11,74.0
29.218,74.0
29.003,73.0
29.003,73.0
29.11,74.0
29.326,74.0
29.003,73.0
29.218,74.0
29.11,74.0
29.083,74.0
29.11,74.0
29.11,74.0
29.326,74.0
29.326,74.0
29.546,75.0
29.546,75.0
29.436,75.0
29.436,75.0
29.436,75.0
29.546,75.0
29.601,75.0
29.657,75.0
29.326,74.0
29.218,74.0
29.326,74.0
29.326,74.0
29.882,76.0
30.225,77.0
30.459,78.0
30.577,78.0
30.225,77.0
29.995,77.0
29.882,76.0
29.657,75.0
29.657,75.0
29.546,75.0
29.769,76.0
29.882,76.0
29.546,75.0
29.436,75.0
29.546,75.0
29.326,74.0
29.436,75.0
29.995,77.0
29.436,75.0
29.546,75.0
29.769,76.0
29.882,76.0
29.769,76.0
29.769,76.0
30.11,77.0
30.696,79.0
31.429,81.0
31.058,80.0
30.696,79.0
30.936,80.0
30.816,79.0
31.682,82.0
32.199,84.0
32.598,85.0
32.068,83.0
31.938,83.0
31.555,82.0
31.682,82.0
31.429,81.0
31.058,80.0
30.936,80.0
31.058,80.0
30.696,79.0
30.816,79.0
30.816,79.0
31.058,80.0
30.936,80.0
30.577,78.0
30.341,78.0
30.11,77.0
29.995,77.0
30.225,77.0
30.225,77.0
30.225,77.0
30.225,77.0
30.11,77.0
29.882,76.0
29.995,77.0
29.995,77.0
30.225,77.0
30.341,78.0
30.11,77.0
29.995,77.0
29.882,76.0
29.995,77.0
30.341,78.0
30.225,77.0
30.225,77.0
29.882,76.0
30.225,77.0
30.577,78.0
30.936,80.0
33.007,86.0
33.427,88.0
33.286,87.0
33.007,86.0
33.007,86.0
32.87,86.0
32.734,85.0
32.734,85.0
33.857,89.0
34.003,89.0
34.449,91.0
34.6,91.0
34.6,91.0
34.6,91.0
34.299,90.0
34.003,89.0
34.003,89.0
34.003,89.0
33.857,89.0
33.427,88.0
33.713,89.0
33.569,88.0
34.449,91.0
34.906,92.0
34.906,92.0
34.449,91.0
34.6,91.0
34.003,89.0
34.003,89.0
34.299,90.0
34.299,90.0
34.449,91.0
34.449,91.0
34.524,91.0
34.783,92.0
34.906,92.0
34.906,92.0
34.906,92.0
34.906,92.0
34.752,92.0
34.6,91.0
34.906,92.0
35.061,93.0
35.218,93.0
34.906,92.0
34.906,92.0
34.6,91.0
34.906,92.0
35.061,93.0
35.376,94.0
36.354,97.0
36.864,99.0
37.037,99.0
35.858,96.0
35.376,94.0
35.218,93.0
35.218,93.0
35.376,94.0
35.218,93.0
34.752,92.0
35.535,94.0
35.535,94.0
35.113,93.0
34.752,92.0
34.906,92.0
35.218,93.0
35.218,93.0
35.535,94.0
35.376,94.0
35.376,94.0
35.858,96.0
35.858,96.0
35.218,93.0
35.376,94.0
35.061,93.0
35.061,93.0
34.906,92.0
34.6,91.0
34.752,92.0
36.022,96.0
36.022,96.0
35.696,95.0
35.376,94.0
