Speed,Power
15.788,72.0
15.951,73.0
16.288,76.0
16.392,76.0
16.22,75.0
16.288,76.0
16.64,78.0
16.676,78.0
16.64,78.0
16.676,78.0
16.933,80.0
16.896,80.0
16.822,80.0
16.676,78.0
16.676,78.0
17.197,82.0
17.083,82.0
16.749,79.0
16.933,80.0
16.933,80.0
17.197,82.0
17.274,83.0
17.045,81.0
17.045,81.0
17.159,82.0
17.121,82.0
17.197,82.0
17.083,82.0
17.313,83.0
17.313,83.0
17.045,81.0
17.083,82.0
17.083,82.0
16.97,81.0
16.951,81.0
16.97,81.0
17.55,85.0
16.933,80.0
17.274,83.0
17.352,84.0
17.159,82.0
17.083,82.0
17.045,81.0
16.896,80.0
16.914,80.0
17.51,85.0
17.313,83.0
17.045,81.0
17.59,85.0
17.47,85.0
17.51,85.0
17.391,84.0
17.007,81.0
17.045,81.0
17.007,81.0
17.045,81.0
17.431,84.0
17.121,82.0
17.045,81.0
16.97,81.0
17.083,82.0
17.313,83.0
17.391,84.0
17.47,85.0
17.274,83.0
17.121,82.0
17.391,84.0
17.236,83.0
17.236,83.0
17.274,83.0
17.045,81.0
17.197,82.0
17.352,84.0
17.236,83.0
17.121,82.0
17.007,81.0
17.121,82.0
17.121,82.0
17.197,82.0
16.97,81.0
17.007,81.0
17.083,82.0
17.197,82.0
17.51,85.0
17.197,82.0
17.045,81.0
17.045,81.0
17.045,81.0
16.97,81.0
17.159,82.0
17.197,82.0
17.121,82.0
17.121,82.0
17.083,82.0
17.045,81.0
16.859,80.0
16.97,81.0
17.007,81.0
17.313,83.0
17.083,82.0
17.045,81.0
17.236,83.0
17.313,83.0
17.045,81.0
17.045,81.0
17.083,82.0
17.007,81.0
16.933,80.0
16.896,80.0
17.007,81.0
16.785,79.0
16.933,80.0
16.712,79.0
16.933,80.0
16.822,80.0
16.749,79.0
16.896,80.0
16.859,80.0
16.785,79.0
16.785,79.0
16.896,80.0
16.785,79.0
16.859,80.0
16.859,80.0
16.822,80.0
16.749,79.0
16.859,80.0
16.676,78.0
16.64,78.0
16.712,79.0
16.568,78.0
16.749,79.0
16.785,79.0
16.785,79.0
16.676,78.0
16.822,80.0
16.749,79.0
16.64,78.0
16.568,78.0
16.604,78.0
16.604,78.0
16.533,77.0
16.749,79.0
16.64,78.0
16.604,78.0
16.896,80.0
16.97,81.0
16.676,78.0
16.604,78.0
16.896,80.0
17.159,82.0
17.793,87.0
18.3,91.0
18.257,91.0
18.476,92.0
18.432,92.0
18.3,91.0
18.432,92.0
18.128,90.0
18.214,90.0
18.214,90.0
18.171,90.0
18.171,90.0
18.085,89.0
18.128,90.0
18.344,91.0
17.959,88.0
18.171,90.0
18.214,90.0
18.3,91.0
18.3,91.0
18.128,90.0
18.085,89.0
18.214,90.0
18.171,90.0
18.476,92.0
18.52,93.0
18.257,91.0
18.565,93.0
18.565,93.0
18.837,95.0
18.52,93.0
18.257,91.0
18.655,94.0
18.344,91.0
18.432,92.0
18.388,92.0
18.565,93.0
18.432,92.0
18.388,92.0
18.257,91.0
18.344,91.0
18.476,92.0
18.257,91.0
18.257,91.0
18.61,93.0
18.52,93.0
18.432,92.0
18.565,93.0
18.745,94.0
18.344,91.0
18.565,93.0
18.61,93.0
18.52,93.0
18.7,94.0
18.476,92.0
18.565,93.0
18.565,93.0
18.3,91.0
18.257,91.0
18.476,92.0
18.388,92.0
18.128,90.0
18.52,93.0
18.3,91.0
18.432,92.0
18.476,92.0
18.388,92.0
18.565,93.0
18.344,91.0
18.388,92.0
18.655,94.0
18.7,94.0
18.791,95.0
18.388,92.0
18.432,92.0
18.388,92.0
18.61,93.0
18.7,94.0
18.52,93.0
18.655,94.0
18.432,92.0
18.476,92.0
18.52,93.0
18.61,93.0
18.883,95.0
18.344,91.0
18.837,95.0
18.837,95.0
18.565,93.0
18.791,95.0
18.7,94.0
18.7,94.0
18.655,94.0
18.93,96.0
18.791,95.0
18.565,93.0
18.745,94.0
18.791,95.0
18.61,93.0
18.745,94.0
18.7,94.0
18.7,94.0
18.791,95.0
18.976,96.0
19.023,96.0
18.883,95.0
18.906,95.0
18.745,94.0
18.791,95.0
18.565,93.0
18.61,93.0
18.61,93.0
18.388,92.0
18.565,93.0
18.476,92.0
18.388,92.0
18.476,92.0
18.476,92.0
18.655,94.0
18.52,93.0
18.61,93.0
18.565,93.0
18.61,93.0
18.498,92.0
18.52,93.0
18.655,94.0
18.791,95.0
18.837,95.0
18.883,95.0
18.655,94.0
18.837,95.0
18.93,96.0
19.07,97.0
18.7,94.0
18.745,94.0
19.023,96.0
18.93,96.0
18.837,95.0
18.883,95.0
18.976,96.0
18.745,94.0
18.61,93.0
18.476,92.0
18.565,93.0
18.791,95.0
18.837,95.0
18.791,95.0
18.745,94.0
18.7,94.0
18.565,93.0
18.61,93.0
19.07,97.0
19.118,97.0
19.165,97.0
19.406,99.0
19.07,97.0
19.213,98.0
19.165,97.0
19.118,97.0
19.165,97.0
19.165,97.0
19.118,97.0
19.118,97.0
19.023,96.0
19.261,98.0
19.165,97.0
19.023,96.0
19.118,97.0
19.07,97.0
19.213,98.0
19.07,97.0
19.118,97.0
19.213,98.0
19.456,100.0
19.261,98.0
19.118,97.0
19.358,99.0
19.554,100.0
19.456,100.0
19.118,97.0
19.118,97.0
19.261,98.0
19.456,100.0
19.213,98.0
19.213,98.0
19.023,96.0
19.165,97.0
19.358,99.0
19.213,98.0
19.213,98.0
18.93,96.0
19.118,97.0
19.704,102.0
19.654,101.0
19.505,100.0
19.309,99.0
19.456,100.0
19.704,102.0
19.456,100.0
19.456,100.0
19.654,101.0
19.554,100.0
19.309,99.0
19.505,100.0
20.6,108.0
20.328,106.0
19.908,103.0
19.857,103.0
19.857,103.0
19.908,103.0
20.221,105.0
19.96,103.0
20.011,104.0
20.169,105.0
20.116,105.0
20.116,105.0
19.806,102.0
19.96,103.0
19.908,103.0
19.908,103.0
20.011,104.0
19.704,102.0
19.554,100.0
20.011,104.0
19.96,103.0
19.755,102.0
19.908,103.0
20.011,104.0
20.064,104.0
19.908,103.0
20.064,104.0
19.704,102.0
19.908,103.0
20.064,104.0
19.806,102.0
19.857,103.0
19.806,102.0
19.96,103.0
19.96,103.0
20.011,104.0
19.908,103.0
19.96,103.0
20.116,105.0
20.275,106.0
20.116,105.0
20.275,106.0
20.545,108.0
20.711,109.0
20.275,106.0
20.328,106.0
19.96,103.0
20.382,107.0
20.301,106.0
20.116,105.0
20.169,105.0
20.221,105.0
20.382,107.0
20.382,107.0
20.169,105.0
20.328,106.0
20.116,105.0
20.275,106.0
20.011,104.0
19.908,103.0
20.328,106.0
20.382,107.0
20.221,105.0
20.011,104.0
20.011,104.0
20.116,105.0
20.064,104.0
20.221,105.0
20.436,107.0
20.221,105.0
20.169,105.0
20.275,106.0
20.436,107.0
20.328,106.0
20.221,105.0
20.436,107.0
20.823,110.0
20.767,110.0
20.382,107.0
20.6,108.0
20.382,107.0
20.545,108.0
20.49,107.0
20.328,106.0
20.064,104.0
20.328,106.0
20.169,105.0
19.857,103.0
19.96,103.0
20.275,106.0
20.6,108.0
20.436,107.0
20.275,106.0
20.221,105.0
20.436,107.0
20.6,108.0
20.711,109.0
20.382,107.0
20.382,107.0
20.382,107.0
20.545,108.0
20.436,107.0
20.49,107.0
20.382,107.0
20.6,108.0
20.49,107.0
20.711,109.0
20.711,109.0
20.767,110.0
20.879,110.0
20.767,110.0
20.993,111.0
20.936,111.0
20.993,111.0
21.05,112.0
20.879,110.0
20.655,109.0
20.711,109.0
20.655,109.0
20.436,107.0
20.49,107.0
20.545,108.0
20.436,107.0
20.49,107.0
20.711,109.0
20.49,107.0
20.711,109.0
20.49,107.0
20.436,107.0
20.382,107.0
20.545,108.0
20.545,108.0
20.328,106.0
20.6,108.0
20.49,107.0
20.767,110.0
20.711,109.0
20.436,107.0
20.436,107.0
20.823,110.0
20.823,110.0
20.767,110.0
21.108,112.0
20.823,110.0
20.6,108.0
20.823,110.0
20.879,110.0
20.823,110.0
20.936,111.0
20.879,110.0
21.283,114.0
21.401,114.0
21.401,114.0
21.401,114.0
21.05,112.0
21.05,112.0
21.461,115.0
21.224,113.0
21.224,113.0
21.108,112.0
20.993,111.0
21.05,112.0
20.879,110.0
20.936,111.0
20.879,110.0
20.823,110.0
21.401,114.0
21.254,113.0
21.431,115.0
21.401,114.0
21.461,115.0
21.224,113.0
21.283,114.0
21.342,114.0
21.342,114.0
21.108,112.0
21.108,112.0
20.879,110.0
21.166,113.0
21.224,113.0
21.283,114.0
21.108,112.0
21.108,112.0
20.879,110.0
20.711,109.0
20.879,110.0
21.079,112.0
21.05,112.0
21.05,112.0
20.879,110.0
21.108,112.0
21.05,112.0
21.166,113.0
21.108,112.0
21.283,114.0
21.764,117.0
21.521,115.0
21.581,116.0
22.013,119.0
21.764,117.0
21.95,119.0
21.95,119.0
21.581,116.0
21.642,116.0
21.461,115.0
21.401,114.0
21.401,114.0
21.581,116.0
21.521,115.0
21.224,113.0
21.461,115.0
21.342,114.0
21.342,114.0
21.342,114.0
21.401,114.0
21.342,114.0
21.703,117.0
21.642,116.0
21.888,118.0
21.703,117.0
21.461,115.0
21.401,114.0
21.888,118.0
21.888,118.0
21.703,117.0
21.521,115.0
21.521,115.0
21.581,116.0
21.461,115.0
21.342,114.0
21.342,114.0
21.521,115.0
21.703,117.0
21.825,118.0
21.342,114.0
21.521,115.0
21.461,115.0
21.521,115.0
21.461,115.0
21.401,114.0
21.283,114.0
21.581,116.0
21.581,116.0
21.461,115.0
21.888,118.0
22.267,121.0
21.888,118.0
21.703,117.0
21.825,118.0
21.825,118.0
22.044,119.0
21.703,117.0
21.581,116.0
21.581,116.0
21.642,116.0
21.642,116.0
21.581,116.0
21.764,117.0
21.642,116.0
21.581,116.0
21.825,118.0
21.888,118.0
21.703,117.0
22.013,119.0
21.825,118.0
21.888,118.0
21.95,119.0
21.764,117.0
22.267,121.0
22.013,119.0
21.919,118.0
21.703,117.0
21.703,117.0
21.95,119.0
22.332,122.0
22.794,125.0
22.462,122.0
22.528,123.0
22.203,121.0
22.267,121.0
22.203,121.0
22.076,120.0
21.642,116.0
22.076,120.0
22.267,121.0
22.076,120.0
22.013,119.0
22.076,120.0
22.203,121.0
22.139,120.0
22.332,122.0
22.528,123.0
22.727,125.0
22.93,126.0
22.66,124.0
22.139,120.0
22.203,121.0
22.332,122.0
22.203,121.0
22.332,122.0
21.888,118.0
21.764,117.0
21.703,117.0
22.013,119.0
21.888,118.0
22.267,121.0
22.267,121.0
22.013,119.0
22.332,122.0
22.267,121.0
22.203,121.0
22.528,123.0
22.332,122.0
22.139,120.0
22.332,122.0
22.139,120.0
22.203,121.0
22.139,120.0
22.462,122.0
22.93,126.0
23.136,128.0
22.727,125.0
22.594,123.0
22.727,125.0
22.794,125.0
22.66,124.0
22.93,126.0
22.862,126.0
22.862,126.0
22.332,122.0
22.528,123.0
22.66,124.0
22.594,123.0
22.862,126.0
23.067,127.0
22.998,127.0
22.727,125.0
23.067,127.0
23.136,128.0
23.418,130.0
22.998,127.0
22.727,125.0
22.627,124.0
22.727,125.0
22.93,126.0
23.206,128.0
23.561,131.0
23.136,128.0
23.206,128.0
23.418,130.0
23.206,128.0
23.206,128.0
23.067,127.0
23.206,128.0
23.276,129.0
23.067,127.0
22.998,127.0
22.727,125.0
22.727,125.0
22.794,125.0
22.794,125.0
22.794,125.0
22.93,126.0
22.8285,125.5
22.727,125.0
22.66,124.0
23.067,127.0
24.654,139.0
26.295,152.0
26.705,155.0
26.476,153.0
26.476,153.0
26.117,150.0
25.941,149.0
25.596,146.0
25.511,146.0
25.427,145.0
24.773,140.0
24.933,141.0
24.773,140.0
25.178,143.0
25.178,143.0
24.933,141.0
24.933,141.0
25.427,145.0
25.427,145.0
25.178,143.0
